자치구,대여소명,기준년월,대여건수,반납건수
강동구,1077.강동역 1번출구 앞,202207," 2,377 "," 2,371 "
강동구,1078.둔촌사거리,202207," 3,454 "," 3,467 "
강동구,1079.강일동입구교차로,202207, 633 , 649 
강동구,1080.엘웨딩,202207," 1,369 "," 1,373 "
강동구,1081.트레빌빌딩,202207," 1,591 "," 1,556 "
강동구,1082.중앙보훈병원역3번출구,202207, 138 , 119 
강동구,1083.광문고교사거리(아이파크),202207, 710 , 677 
강동구,1084. 윤선생빌딩(JYP사옥),202207," 3,223 "," 3,881 "
강동구,1085.래미안 솔베뉴(고덕로),202207, 932 , 739 
강동구,1086.래미안 솔베뉴(구천면로),202207," 1,156 "," 1,166 "
강동구,1088.풍납사거리(강동),202207," 1,754 "," 1,727 "
강동구,1089.고덕 래미안힐스테이트(201동),202207, 313 , 268 
강동구,1090.상일동역 2번출구 앞,202207," 2,911 "," 2,942 "
강동구,3539. 서원마을,202207, 279 , 260 
강동구,3652. 한영외국어고등학교,202207, 215 , 193 
강동구,3653. 강동리버스트4단지아파트 404동 앞,202207, 575 , 576 
강동구,3654. 강동리버스트4단지아파트 405동 앞,202207, 475 , 573 
강동구,3655. 둔촌신성미소지움아파트,202207, 599 , 552 
강동구,3656. 둔촌푸르지오아파트,202207," 1,869 "," 1,857 "
강동구,3657. 서울천호동우체국,202207," 2,415 "," 2,397 "
강동구,3658. 프라이어팰리스아파트,202207," 1,035 "," 1,032 "
강동구,3659. 명일초등학교 옆,202207, 341 , 346 
강동구,3661. 명일동신동아아파트 앞,202207, 512 , 509 
강동구,3663. 암사정수센터교차로(강동롯데캐슬퍼스트아파트),202207, 407 , 373 
강동구,3664. 맥도날드 서울둔촌DT점 앞,202207," 2,977 "," 3,039 "
강동구,3665. 고덕센트럴 아이파크상가 앞,202207, 805 , 821 
강동구,3668. 성내삼성아파트,202207," 3,664 "," 4,070 "
강동구,3671. 둔촌동역교차로,202207," 2,607 "," 2,644 "
강동구,3672. 고덕중학교 후문,202207, 391 , 382 
강동구,3673. 강동리버스트6단지,202207, 686 , 738 
강동구,3674. 강동리버스트7단지,202207, 540 , 680 
강동구,3675. 강동리버스트8단지,202207, 629 , 706 
강동구,3676. 강동리엔파크9단지,202207, 743 , 796 
강동구,3677. 강동구음식물재활용센터,202207, 121 , 120 
강동구,3680. 강동역3번출구,202207," 3,758 "," 3,752 "
강동구,3681. 길동 마루빌딩,202207," 4,299 "," 4,581 "
강동구,3682. 길동 동호빌딩,202207, 535 , 542 
